sequence_id,label,length,net_charge_per_residue,hydrophobic_percent,polar_percent,charged_percent,gly_percent,pro_percent,ambiguous_count,ambiguous_rate,top1_type,top1_identity,top1_score,top1_coverage,top2_type,top2_identity,delta_top1_top2,type1_score,type1_aligned_len,type1_coverage,type1_identity,type1_mismatch_rate,type1_gap_rate,type1_conservation_match,type2_score,type2_aligned_len,type2_coverage,type2_identity,type2_mismatch_rate,type2_gap_rate,type2_conservation_match,type3_score,type3_aligned_len,type3_coverage,type3_identity,type3_mismatch_rate,type3_gap_rate,type3_conservation_match,type4_score,type4_aligned_len,type4_coverage,type4_identity,type4_mismatch_rate,type4_gap_rate,type4_conservation_match,afgp_score,afgp_aligned_len,afgp_coverage,afgp_identity,afgp_mismatch_rate,afgp_gap_rate,afgp_conservation_match,alignment_failed,low_coverage
P04002,AFP,82,-0.012195121951219513,70.73170731707317,15.853658536585366,10.975609756097562,2.4390243902439024,6.097560975609756,0,0.0,type1,0.8780487804878049,46.5,1.0,afgp,0.7682926829268293,0.1097560975609756,46.5,82,1.0,0.8780487804878049,0.12195121951219512,0.0,0.37406510881095684,-43.5,76,0.926829268292683,0.5263157894736842,0.47368421052631576,0.0,0.43558892507801833,-32.5,62,0.7560975609756098,0.3870967741935484,0.6129032258064516,0.0,0.6836930777592527,-35.0,73,0.8902439024390244,0.4520547945205479,0.547945205479452,0.0,0.40567853849666213,-290.5,82,1.0,0.7682926829268293,0.23170731707317074,0.0,1.0,0,0
P24856,AFP,790,0.0012658227848101266,72.78481012658227,26.20253164556962,0.12658227848101267,0.12658227848101267,9.240506329113925,0,0.0,afgp,0.9949367088607595,1568.0,1.0,type1,0.8018433179723502,0.19309339088840927,-93.0,217,0.2746835443037975,0.8018433179723502,0.19815668202764977,0.0,0.34066833549545905,-319.5,182,0.23037974683544304,0.41208791208791207,0.5879120879120879,0.0,0.4503538687583641,-358.0,88,0.11139240506329114,0.4659090909090909,0.5340909090909091,0.0,0.6500683236423724,-336.5,129,0.16329113924050634,0.4728682170542636,0.5271317829457365,0.0,0.3830389531864928,1568.0,790,1.0,0.9949367088607595,0.005063291139240506,0.0,0.9915529324858,0,0
B1P0S1,AFP,218,-0.0045871559633027525,72.93577981651376,17.889908256880734,8.715596330275229,0.45871559633027525,0.9174311926605505,0,0.0,type1,0.8703703703703703,340.0,0.9908256880733946,afgp,0.7741935483870968,0.0961768219832736,340.0,216,0.9908256880733946,0.8703703703703703,0.12962962962962962,0.0,0.3458343423925346,-66.5,136,0.6238532110091743,0.4264705882352941,0.5735294117647058,0.0,0.42274800828678727,-73.5,81,0.37155963302752293,0.4567901234567901,0.5432098765432098,0.0,0.6425012857856512,-70.0,109,0.5,0.42201834862385323,0.5779816513761468,0.0,0.3831045103990227,-112.5,217,0.9954128440366973,0.7741935483870968,0.22580645161290322,0.0,0.9911599270320068,0,0
A0ZT93,AFP,168,-0.02976190476190476,48.214285714285715,17.857142857142858,17.261904761904763,7.142857142857142,4.166666666666666,0,0.0,type2,0.9464285714285714,299.0,1.0,type3,0.5405405405405406,0.4058880308880308,-58.0,147,0.875,0.38095238095238093,0.6190476190476191,0.0,0.35943022710602296,299.0,168,1.0,0.9464285714285714,0.05357142857142857,0.0,0.40455002448822774,-44.0,74,0.44047619047619047,0.5405405405405406,0.4594594594594595,0.0,0.6583214524980502,-42.0,106,0.6309523809523809,0.46226415094339623,0.5377358490566038,0.0,0.43014135190190994,-330.5,160,0.9523809523809523,0.4125,0.5875,0.0,1.0,0,0
P05140,AFP,163,-0.03680981595092025,47.239263803680984,23.31288343558282,13.496932515337424,6.748466257668712,5.521472392638037,0,0.0,type2,0.7654320987654321,190.5,0.9938650306748467,type3,0.6212121212121212,0.14421997755331084,-64.5,133,0.8159509202453987,0.39849624060150374,0.6015037593984962,0.0,0.3800376974279197,190.5,162,0.9938650306748467,0.7654320987654321,0.2345679012345679,0.0,0.42368881142123593,-41.5,66,0.4049079754601227,0.6212121212121212,0.3787878787878788,0.0,0.6042302396476779,-41.0,93,0.5705521472392638,0.5161290322580645,0.4838709677419355,0.0,0.3998544351814506,-319.0,163,1.0,0.43558282208588955,0.5644171779141104,0.0,0.9943662832266594,0,0
P07457,AFP,87,0.034482758620689655,55.172413793103445,25.287356321839084,10.344827586206897,6.896551724137931,6.896551724137931,0,0.0,type3,0.8620689655172413,136.0,1.0,type4,0.5522388059701493,0.30983015954709203,-67.0,84,0.9655172413793104,0.44047619047619047,0.5595238095238095,0.0,0.36900799393350187,-50.5,77,0.8850574712643678,0.5194805194805194,0.4805194805194805,0.0,0.3909708870899921,136.0,87,1.0,0.8620689655172413,0.13793103448275862,0.0,0.646046120465848,-25.5,67,0.7701149425287356,0.5522388059701493,0.44776119402985076,0.0,0.4496165420087056,-354.5,84,0.9655172413793104,0.5,0.5,0.0,1.0,0,0
P19614,AFP,66,0.0,60.60606060606061,22.727272727272727,12.121212121212121,4.545454545454546,12.121212121212121,0,0.0,type3,0.6935483870967742,43.0,0.9393939393939394,type4,0.5576923076923077,0.13585607940446653,-83.5,65,0.9848484848484849,0.4153846153846154,0.5846153846153846,0.0,0.4251457025709286,-55.0,66,1.0,0.5151515151515151,0.48484848484848486,0.0,0.3553200754297775,43.0,62,0.9393939393939394,0.6935483870967742,0.3064516129032258,0.0,0.5638854835918106,-39.0,52,0.7878787878787878,0.5576923076923077,0.4423076923076923,0.0,0.41446882986470573,-365.0,66,1.0,0.5,0.5,0.0,1.0,0,0
P80961,AFP,128,-0.0390625,46.875,28.90625,21.09375,2.34375,2.34375,0,0.0,type4,0.9140625,221.0,1.0,type2,0.504950495049505,0.40911200495049505,-75.5,108,0.84375,0.4166666666666667,0.5833333333333334,0.0,0.32704115727497163,-50.0,101,0.7890625,0.504950495049505,0.49504950495049505,0.0,0.3730365095796828,-25.5,78,0.609375,0.47435897435897434,0.5256410256410257,0.0,0.7004369656270538,221.0,128,1.0,0.9140625,0.0859375,0.0,0.37821894500826214,-342.0,128,1.0,0.4296875,0.5703125,0.0,0.9856516275928986,0,0
P02732,AFP,31,0.0,67.74193548387096,32.25806451612903,0.0,0.0,0.0,0,0.0,type1,1.0,-45.0,1.0,afgp,1.0,0.0,-45.0,31,1.0,1.0,0.0,0.0,0.318036537826977,-57.0,31,1.0,0.7419354838709677,0.25806451612903225,0.0,0.3700217737748125,-29.5,30,0.967741935483871,0.5,0.5,0.0,0.6245112497836531,-39.5,31,1.0,0.6451612903225806,0.3548387096774194,0.0,0.42399542978184335,-323.5,31,1.0,1.0,0.0,0.0,0.9058614247079196,0,0
P02733,AFP,37,-0.02702702702702703,70.27027027027027,13.513513513513514,8.108108108108109,0.0,0.0,3,0.08108108108108109,type1,0.8918918918918919,-40.5,1.0,afgp,0.7837837837837838,0.10810810810810811,-40.5,37,1.0,0.8918918918918919,0.10810810810810811,0.0,0.28420839772133333,-57.0,37,1.0,0.6756756756756757,0.32432432432432434,0.0,0.18813243196465537,-29.5,29,0.7837837837837838,0.5172413793103449,0.4827586206896552,0.0,0.6115633618451582,-38.0,36,0.972972972972973,0.5833333333333334,0.4166666666666667,0.0,0.4065023144141724,-338.5,37,1.0,0.7837837837837838,0.21621621621621623,0.0,1.0,0,0
