Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Protein existence
A0A0C5PHQ7	reviewed	ELOV5_TACFU	Very long chain fatty acid elongase 5 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL5) (ELOVL fatty acid elongase 5) (ELOVL FA elongase 5) (Elongation of very long chain fatty acids protein 5) (Very long chain 3-ketoacyl-CoA synthase 5) (Very long chain 3-oxoacyl-CoA synthase 5)	ELOVL5 ELO	Tachysurus fulvidraco (Yellow catfish) (Pimelodus fulvidraco)	294	Evidence at transcript level
A0A0G2KQY6	reviewed	S39AE_DANRE	Metal cation symporter ZIP14 (Solute carrier family 39 member 14) (Zrt- and Irt-like protein 14) (ZIP-14)	slc39a14 zip14	Danio rerio (Zebrafish) (Brachydanio rerio)	494	Evidence at transcript level
A0A0G2KTI4	reviewed	S12A2_DANRE	Solute carrier family 12 member 2 (Bumetanide-sensitive sodium-(potassium)-chloride cotransporter 2) (BSC2) (Na-K-Cl cotransporter 1) (NKCC1)	slc12a2 nkcc1	Danio rerio (Zebrafish) (Brachydanio rerio)	1136	Evidence at protein level
A0A0G2L7I0	reviewed	SPRTN_DANRE	DNA-dependent metalloprotease SPRTN (EC 3.4.24.-) (Protein with SprT-like domain at the N terminus) (Spartan)	sprtn	Danio rerio (Zebrafish) (Brachydanio rerio)	636	Inferred from homology
A0A0N9E2K8	reviewed	MMP21_DANRE	Matrix metallopeptidase-21 (MMP-21) (EC 3.4.24.-)	mmp21	Danio rerio (Zebrafish) (Brachydanio rerio)	599	Evidence at transcript level
A0A0R4I9Y1	reviewed	R213B_DANRE	E3 ubiquitin-protein ligase rnf213-beta (EC 2.3.2.27) (EC 3.6.4.-) (E3 ubiquitin-lipopolysaccharide ligase rnf213-beta) (EC 2.3.2.-) (Mysterin-B) (Mysterin-beta) (RING finger protein 213-B) (RING finger protein 213-beta)	rnf213b	Danio rerio (Zebrafish) (Brachydanio rerio)	5061	Inferred from homology
A0A0R4IBK5	reviewed	R213A_DANRE	E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (E3 ubiquitin-lipopolysaccharide ligase rnf213-alpha) (EC 2.3.2.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha)	rnf213a	Danio rerio (Zebrafish) (Brachydanio rerio)	5209	Inferred from homology
A0A0R4IDX9	reviewed	NINJ1_DANRE	Ninjurin-1 (Nerve injury-induced protein 1)	ninj1 si:ch1073-278o19.1	Danio rerio (Zebrafish) (Brachydanio rerio)	146	Inferred from homology
A0A0R4IEW8	reviewed	ELAV4_DANRE	ELAV-like protein 4 (Protein elrD)	elavl4	Danio rerio (Zebrafish) (Brachydanio rerio)	411	Evidence at protein level
A0A0R4IFG5	reviewed	CFA53_DANRE	Cilia- and flagella-associated protein 53 (Coiled-coil domain-containing protein 11)	cfap53 ccdc11	Danio rerio (Zebrafish) (Brachydanio rerio)	519	Evidence at transcript level
A0A0R4IKJ1	reviewed	CAPAM_DANRE	mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase (EC 2.1.1.62) (Cap-specific adenosine methyltransferase) (CAPAM) (zCAPAM) (Phosphorylated CTD-interacting factor 1)	pcif1	Danio rerio (Zebrafish) (Brachydanio rerio)	721	Evidence at protein level
A0A0R4IKU3	reviewed	RECK_DANRE	Reversion-inducing cysteine-rich protein with Kazal motifs	reck	Danio rerio (Zebrafish) (Brachydanio rerio)	955	Evidence at protein level
A0A0R4ILB2	reviewed	FLC2A_DANRE	Choline/ethanolamine transporter flvcr2a (Feline leukemia virus subgroup C receptor-related protein 2 homolog A) (Heme transporter flvcr2a) (Major facilitator superfamily domain containing 7C-a)	flvcr2a Mfsd7c-a	Danio rerio (Zebrafish) (Brachydanio rerio)	470	Inferred from homology
A0A0R4IMY7	reviewed	TRPM2_DANRE	Transient receptor potential cation channel subfamily M member 2	trpm2	Danio rerio (Zebrafish) (Brachydanio rerio)	1470	Evidence at protein level
