sequence_id,label,reviewed,afp_type,medoid_type1_id,medoid_type2_id,medoid_type3_id,medoid_type4_id,medoid_afgp_id,medoid_type1_score,medoid_type1_identity,medoid_type1_coverage,medoid_type1_gap_rate,medoid_type2_score,medoid_type2_identity,medoid_type2_coverage,medoid_type2_gap_rate,medoid_type3_score,medoid_type3_identity,medoid_type3_coverage,medoid_type3_gap_rate,medoid_type4_score,medoid_type4_identity,medoid_type4_coverage,medoid_type4_gap_rate,medoid_afgp_score,medoid_afgp_identity,medoid_afgp_coverage,medoid_afgp_gap_rate,medoid_top1_type,medoid_top1_identity,medoid_delta_top1_top2_ident,medoid_top1_type_by_score,medoid_delta_top1_top2_score
P04002,AFP,1,type1,P07835,P05140,P19608,Q8JI37,P24856,122.0,0.8888888888888888,0.9878048780487805,0.0,-37.0,0.4864864864864865,0.9024390243902439,0.0,-31.0,0.3333333333333333,0.7317073170731707,0.0,-31.0,0.5892857142857143,0.6829268292682927,0.0,-290.5,0.7682926829268293,1.0,0.0,type1,0.8888888888888888,0.12059620596205956,type1,153.0
B1P0S1,AFP,1,type1,P07835,P05140,P19608,Q8JI37,P24856,63.0,0.8571428571428571,0.41743119266055045,0.0,-69.0,0.40625,0.5871559633027523,0.0,-84.0,0.45161290322580644,0.28440366972477066,0.0,-63.0,0.47474747474747475,0.4541284403669725,0.0,-112.5,0.7741935483870968,0.9954128440366973,0.0,type1,0.8571428571428571,0.08294930875576034,type1,126.0
P07457,AFP,1,type1,P07835,P05140,P19608,Q8JI37,P24856,-32.0,0.4426229508196721,0.7011494252873564,0.0,-36.5,0.5205479452054794,0.8390804597701149,0.0,101.5,0.9375,0.735632183908046,0.0,-21.5,0.4675324675324675,0.8850574712643678,0.0,-354.5,0.5,0.9655172413793104,0.0,type3,0.9375,0.4169520547945206,type3,123.0
P02733,AFP,1,type1,P07835,P05140,P19608,Q8JI37,P24856,29.0,0.8918918918918919,1.0,0.0,-50.5,0.6486486486486487,1.0,0.0,-23.5,0.35294117647058826,0.918918918918919,0.0,-28.0,0.6111111111111112,0.972972972972973,0.0,-338.5,0.7837837837837838,1.0,0.0,type1,0.8918918918918919,0.10810810810810811,type1,52.5
P02734,AFP,1,type1,P07835,P05140,P19608,Q8JI37,P24856,125.0,0.972972972972973,0.8705882352941177,0.0,-41.5,0.4074074074074074,0.9529411764705882,0.0,-41.5,0.3018867924528302,0.6235294117647059,0.0,-29.5,0.4305555555555556,0.8470588235294118,0.0,-259.0,0.8470588235294118,1.0,0.0,type1,0.972972972972973,0.12591414944356127,type1,154.5
P04367,AFP,1,type1,P07835,P05140,P19608,Q8JI37,P24856,8.5,0.8181818181818182,1.0,0.0,-47.0,0.7575757575757576,1.0,0.0,-21.5,0.52,0.7575757575757576,0.0,-30.5,0.7096774193548387,0.9393939393939394,0.0,-350.0,0.7878787878787878,1.0,0.0,type1,0.8181818181818182,0.030303030303030387,type1,30.0
P04368,AFP,1,type1,P07835,P05140,P19608,Q8JI37,P24856,20.5,0.7333333333333333,1.0,0.0,-45.5,0.6222222222222222,1.0,0.0,-27.5,0.35135135135135137,0.8222222222222222,0.0,-26.0,0.6046511627906976,0.9555555555555556,0.0,-338.0,0.7333333333333333,1.0,0.0,type1,0.7333333333333333,0.0,type1,46.5
P07835,AFP,1,type1,P07835,P05140,P19608,Q8JI37,P24856,182.0,1.0,1.0,0.0,-37.0,0.4523809523809524,0.9230769230769231,0.0,-31.0,0.4782608695652174,0.5054945054945055,0.0,-31.0,0.4696969696969697,0.7252747252747253,0.0,-268.0,0.8021978021978022,1.0,0.0,type1,1.0,0.19780219780219777,type1,213.0
P09031,AFP,1,type1,P07835,P05140,P19608,Q8JI37,P24856,134.0,0.896551724137931,0.8969072164948454,0.0,-38.5,0.4318181818181818,0.9072164948453608,0.0,-32.5,0.5,0.4742268041237113,0.0,-31.0,0.5151515151515151,0.6804123711340206,0.0,-268.0,0.7731958762886598,1.0,0.0,type1,0.896551724137931,0.12335584784927123,type1,165.0
P12100,AFP,1,type1,P07835,P05140,P19608,Q8JI37,P24856,-36.5,0.32142857142857145,0.8888888888888888,0.0,-38.0,0.576271186440678,0.9365079365079365,0.0,52.0,0.6190476190476191,1.0,0.0,-30.5,0.5714285714285714,0.8888888888888888,0.0,-372.5,0.4126984126984127,1.0,0.0,type3,0.6190476190476191,0.042776432606941084,type3,82.5
